test_id,engine_score,vader_score,textblob_score,bert_score,content_length
Pandas_LongTerm,3.0,3.355,3.812,1.0,133
Pandas_LongTerm,4.0,5.5,7.75,3.25,50
Pandas_LongTerm,4.0,5.5,5.5,5.5,39
Pandas_LongTerm,4.0,5.5,5.05,1.0,187
Pandas_LongTerm,4.0,2.803,4.356,3.25,306
Pandas_LongTerm,4.0,7.397,6.67,3.25,303
Pandas_LongTerm,4.0,3.057,6.171,3.25,735
Pandas_LongTerm,4.0,3.659,5.811,3.25,499
Pandas_LongTerm,4.0,9.917,6.148,3.25,1601
Pandas_LongTerm,4.0,7.125,5.807,1.0,131
Pandas_LongTerm,4.0,9.518,5.971,5.5,829
Pandas_LongTerm,4.0,5.616,5.5,1.0,80
Pandas_LongTerm,4.0,4.899,5.433,3.25,1296
Pandas_LongTerm,4.0,7.125,5.5,5.5,55
Pandas_LongTerm,5.0,5.5,5.5,1.0,164
Pandas_LongTerm,5.0,6.832,5.5,3.25,72
Pandas_LongTerm,5.0,9.475,6.511,5.5,595
Pandas_LongTerm,5.0,9.725,6.737,5.5,518
Pandas_LongTerm,5.0,4.142,5.125,5.5,189
Pandas_LongTerm,5.0,8.074,5.763,1.0,389
Pandas_LongTerm,5.0,5.5,5.5,1.0,15
Pandas_LongTerm,5.0,6.729,5.5,7.75,16
Pandas_LongTerm,5.0,5.5,5.5,7.75,35
Pandas_LongTerm,5.0,6.729,5.5,7.75,16
Pandas_LongTerm,5.0,5.5,5.5,5.5,11
Pandas_LongTerm,5.0,5.5,5.5,10.0,23
Pandas_LongTerm,5.0,6.729,5.5,7.75,16
Pandas_LongTerm,5.0,5.5,5.5,10.0,14
Pandas_LongTerm,5.0,7.87,5.5,1.0,37
Pandas_LongTerm,5.0,6.729,5.5,7.75,34
Pandas_LongTerm,5.0,5.5,5.5,5.5,11
Pandas_LongTerm,5.0,5.5,5.5,10.0,14
Pandas_LongTerm,5.0,6.729,5.5,7.75,24
Pandas_LongTerm,5.0,5.5,5.5,1.0,18
Pandas_LongTerm,5.0,5.5,5.5,5.5,11
Pandas_LongTerm,5.0,5.5,5.5,10.0,14
Pandas_LongTerm,5.0,5.5,5.5,5.5,25
Pandas_LongTerm,5.0,6.729,5.5,7.75,16
Pandas_LongTerm,5.0,5.5,5.5,5.5,11
Pandas_LongTerm,5.0,5.5,5.5,10.0,14
Pandas_LongTerm,6.0,7.894,8.2,5.5,165
Pandas_LongTerm,6.0,4.75,5.887,3.25,536
Pandas_LongTerm,6.0,7.834,5.815,5.5,515
Pandas_LongTerm,6.0,5.446,5.821,5.5,220
Pandas_LongTerm,6.0,5.377,5.327,3.25,289
Pandas_LongTerm,6.0,5.5,5.5,1.0,98
Pandas_LongTerm,6.0,6.518,5.65,1.0,55
Pandas_LongTerm,6.0,7.953,6.754,3.25,273
Pandas_LongTerm,6.0,5.722,5.388,1.0,1129
Pandas_LongTerm,6.0,1.761,5.725,3.25,587
Pandas_LongTerm,6.0,5.038,6.525,5.5,287
Pandas_LongTerm,6.0,9.296,7.375,1.0,255
Pandas_LongTerm,6.0,8.137,6.588,1.0,517
Pandas_LongTerm,6.0,9.792,6.194,5.5,355
Pandas_LongTerm,6.0,8.469,5.275,5.5,228
Pandas_LongTerm,6.0,7.565,7.3,1.0,73
Pandas_LongTerm,6.0,8.161,6.125,5.5,90
Pandas_LongTerm,6.0,8.651,8.2,5.5,123
Pandas_LongTerm,6.0,6.245,5.5,7.75,276
Pandas_LongTerm,6.0,6.583,5.5,5.5,307
Pandas_LongTerm,6.0,1.628,5.365,1.0,1076
Pandas_LongTerm,6.0,7.798,3.25,1.0,161
Pandas_LongTerm,6.0,3.875,4.488,3.25,211
Pandas_LongTerm,6.0,8.771,6.4,5.5,247
Pandas_LongTerm,6.0,8.197,6.069,3.25,357
Pandas_LongTerm,6.0,4.637,5.368,3.25,1801
Pandas_LongTerm,6.0,1.399,5.85,3.25,1434
Pandas_LongTerm,6.0,4.428,4.6,5.5,230
Pandas_LongTerm,6.0,9.716,6.243,7.75,587
Pandas_LongTerm,6.0,7.565,5.631,3.25,194
Pandas_LongTerm,6.0,8.693,7.262,10.0,83
Pandas_LongTerm,6.0,8.22,5.372,3.25,993
Pandas_LongTerm,6.0,9.564,6.55,5.5,416
Pandas_LongTerm,6.0,9.838,5.175,5.5,468
Pandas_LongTerm,6.0,2.959,10.0,1.0,109
Pandas_LongTerm,6.0,4.309,6.425,5.5,810
Pandas_LongTerm,6.0,7.865,4.469,5.5,599
Pandas_LongTerm,6.0,9.693,6.246,7.75,416
Pandas_LongTerm,6.0,7.565,5.631,3.25,194
Pandas_LongTerm,6.0,7.565,5.631,3.25,194
Pandas_LongTerm,6.0,3.202,5.556,5.5,404
Pandas_LongTerm,6.0,8.669,7.143,5.5,903
Pandas_LongTerm,6.0,8.06,6.412,3.25,190
